point_id,longitude,latitude,offshore_distance_km,coastal_lon,coastal_lat
TN_0001,76.8849,8.22828,20,77.0,8.36792
TN_0002,76.98626,8.14564,20,77.10166,8.28501
TN_0003,78.02967,8.1475,20,77.94489,8.30696
TN_0004,78.18536,8.24025,20,78.05899,8.36999
TN_0005,78.25213,8.37357,20,78.08273,8.43979
TN_0006,78.30675,8.50578,20,78.13009,8.54993
TN_0007,78.31016,8.60639,20,78.12852,8.62099
TN_0008,78.3105,8.62929,20,78.14216,8.6984
TN_0009,78.37565,8.75957,20,78.19449,8.77983
TN_0010,78.31805,8.82132,20,78.14857,8.75496
TN_0011,78.65703,8.95405,60,78.14857,8.75496
TN_0012,78.82652,9.02041,80,78.14857,8.75496
TN_0013,78.34086,8.79193,20,78.16753,8.84789
TN_0014,78.36614,8.86042,20,78.21685,8.96396
TN_0015,78.3974,8.86997,20,78.27971,9.00764
TN_0016,78.46168,8.93705,20,78.36838,9.09189
TN_0017,78.5109,8.94713,20,78.47488,9.12377
TN_0018,78.62199,8.95999,20,78.56784,9.13205
TN_0019,78.7219,9.0125,20,78.65058,9.17836
TN_0020,78.8159,9.04196,20,78.75869,9.21306
TN_0021,78.92248,9.07898,20,78.88145,9.25456
TN_0022,79.0156,9.08995,20,79.00474,9.26981
TN_0023,79.16255,9.09167,20,79.1336,9.26957
TN_0024,79.20965,9.44639,20,79.12156,9.28857
TN_0025,78.9232,9.17933,20,79.00497,9.34043
TN_0026,78.84143,9.01822,40,79.00497,9.34043
TN_0027,79.13644,9.46603,20,78.99515,9.35188
TN_0028,79.08478,9.51123,20,78.91129,9.45483
TN_0029,79.60523,9.68041,80,78.91129,9.45483
TN_0030,79.10076,9.51286,20,78.92541,9.5635
TN_0031,79.27612,9.46221,40,78.92541,9.5635
TN_0032,79.45147,9.41157,60,78.92541,9.5635
TN_0033,79.13089,9.58067,20,78.97632,9.67683
TN_0034,79.28546,9.48451,40,78.97632,9.67683
TN_0035,79.20407,9.66532,20,79.05836,9.77416
TN_0036,79.49549,9.44765,60,79.05836,9.77416
TN_0037,79.26763,9.76023,20,79.11735,9.86291
TN_0038,79.56819,9.55487,60,79.11735,9.86291
TN_0039,79.71848,9.45219,80,79.11735,9.86291
TN_0040,79.33881,9.85915,20,79.18947,9.96321
TN_0041,79.63749,9.65102,60,79.18947,9.96321
TN_0042,79.78683,9.54695,80,79.18947,9.96321
TN_0043,79.42964,10.00783,20,79.2529,10.0545
TN_0044,79.78313,9.91447,60,79.2529,10.0545
TN_0045,79.95988,9.8678,80,79.2529,10.0545
TN_0046,79.42146,10.12372,20,79.24188,10.15865
TN_0047,79.42895,10.13851,20,79.29345,10.2597
TN_0048,79.83546,9.77495,80,79.29345,10.2597
TN_0049,79.42116,10.13419,20,79.37902,10.30954
TN_0050,79.54756,9.60815,80,79.37902,10.30954
TN_0051,79.54975,10.13499,20,79.50667,10.31011
TN_0052,79.63592,9.78474,60,79.50667,10.31011
TN_0053,79.67901,9.60962,80,79.50667,10.31011
TN_0054,79.66494,10.29434,20,79.48666,10.33559
TN_0055,79.84323,10.25309,40,79.48666,10.33559
TN_0056,79.53545,10.16109,20,79.5137,10.34
TN_0057,79.60071,9.62438,80,79.5137,10.34
TN_0058,79.5589,10.13785,20,79.58409,10.31632
TN_0059,79.48332,9.60245,80,79.58409,10.31632
TN_0060,79.6532,10.15697,20,79.64122,10.33676
TN_0061,79.67716,9.79738,60,79.64122,10.33676
TN_0062,79.68914,9.61759,80,79.64122,10.33676
TN_0063,79.86487,10.65817,40,79.72409,10.3255
TN_0064,79.93527,10.82451,60,79.72409,10.3255
TN_0065,79.77516,10.09421,20,79.79313,10.27352
TN_0066,79.75719,9.9149,40,79.79313,10.27352
TN_0067,79.73922,9.73559,60,79.79313,10.27352
TN_0068,79.72125,9.55628,80,79.79313,10.27352
TN_0069,79.99327,10.17049,20,79.87779,10.31034
TN_0070,80.22423,9.8908,60,79.87779,10.31034
TN_0071,80.3397,9.75096,80,79.87779,10.31034
TN_0072,79.96415,11.4278,20,79.7878,11.37703
TN_0073,79.99737,11.44147,20,79.8151,11.41813
TN_0074,79.94954,11.54768,20,79.77129,11.50346
TN_0075,79.94648,11.63537,20,79.76287,11.62444
TN_0076,79.94032,11.64076,20,79.7606,11.67936
TN_0077,79.97604,11.73887,20,79.79793,11.78431
TN_0078,79.99155,11.83643,20,79.8134,11.88198
TN_0079,80.12316,12.09214,20,79.96184,12.17931
TN_0080,80.13894,12.14078,20,79.98129,12.23421
TN_0081,80.18781,12.20144,20,80.04268,12.31262
TN_0082,80.27584,12.31374,20,80.12516,12.41771
TN_0083,80.33056,12.4117,20,80.15825,12.47618
TN_0084,80.36492,12.52976,20,80.18871,12.58352
TN_0085,80.40982,12.66419,20,80.23039,12.70696
TN_0086,80.42259,12.76692,20,80.23959,12.79174
TN_0087,80.42731,12.78218,20,80.24455,12.80874
TN_0088,80.43835,12.873,20,80.25455,12.89216
TN_0089,80.44557,12.96658,20,80.26607,13.00989
TN_0090,80.49591,13.20862,20,80.31414,13.24265
TN_0091,80.53039,13.31448,20,80.34541,13.32247
TN_0092,80.50167,13.48779,20,80.32292,13.44045
TN_0093,80.48883,13.48864,20,80.32083,13.41275
